Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;;
3500105;Interior;Adamantina;10625;184;;;
3500204;Interior;Adolfo;972;28;;;
3500303;Interior;Aguaí;6870;136;;;
3500402;Interior;Águas da Prata;1910;38;;;
3500501;Interior;Águas de Lindóia;5199;63;;;
3500550;Interior;Águas de Santa Bárbara;620;25;;;
3500600;Interior;Águas de São Pedro;475;16;;;
3500709;Interior;Agudos;7573;122;;;
3500758;Interior;Alambari;1481;13;;;
3500808;Interior;Alfredo Marcondes;310;21;;;
3500907;Interior;Altair;321;18;;;
3501004;Interior;Altinópolis;1239;67;;;
3501103;Interior;Alto Alegre;418;25;;;
3501152;Interior;Alumínio;1743;56;;;
3501202;Interior;Álvares Florence;648;18;;;
3501301;Interior;Álvares Machado;4167;88;;;
3501400;Interior;Álvaro de Carvalho;342;9;;;
3501509;Interior;Alvinlândia;155;10;;;
3501608;Interior;Americana;28191;990;;;
3501707;Interior;Américo Brasiliense;6905;108;;;
3501806;Interior;Américo de Campos;1291;37;;;
3501905;Interior;Amparo;10624;261;;;
3502002;Interior;Analândia;595;6;;;
3502101;Interior;Andradina;14283;316;;;
3502200;Interior;Angatuba;5161;93;;;
3502309;Interior;Anhembi;451;15;;;
3502408;Interior;Anhumas;409;10;;;
3502507;Interior;Aparecida;2981;128;;;
3502606;Interior;Aparecida d'Oeste;1650;27;;;
3502705;Interior;Apiaí;1801;108;;;
3502754;Interior;Araçariguama;2933;77;;;
3502804;Interior;Araçatuba;46487;1002;;;
3502903;Interior;Araçoiaba da Serra;3297;103;;;
3503000;Interior;Aramina;394;20;;;
3503109;Interior;Arandu;666;22;;;
3503158;Interior;Arapeí;276;7;;;
3503208;Interior;Araraquara;62020;649;;;
3503307;Interior;Araras;20311;458;;;
3503356;Interior;Arco-Íris;591;10;;;
3503406;Interior;Arealva;2056;30;;;
3503505;Interior;Areias;365;6;;;
3503604;Interior;Areiópolis;2207;33;;;
3503703;Interior;Ariranha;1038;37;;;
3503802;Interior;Artur Nogueira;9091;169;;;
3503901;RMSP (exceto capital);Arujá;12381;361;;;
3503950;Interior;Aspásia;583;9;;;
3504008;Interior;Assis;23639;469;;;
3504107;Interior;Atibaia;13258;476;;;
3504206;Interior;Auriflama;2268;87;;;
3504305;Interior;Avaí;830;14;;;
3504404;Interior;Avanhandava;1827;48;;;
3504503;Interior;Avaré;15585;322;;;
3504602;Interior;Bady Bassitt;4518;101;;;
3504701;Interior;Balbinos;726;4;;;
3504800;Interior;Bálsamo;2927;77;;;
3504909;Interior;Bananal;1165;10;;;
3505005;Interior;Barão de Antonina;970;11;;;
3505104;Interior;Barbosa;935;25;;;
3505203;Interior;Bariri;6858;151;;;
3505302;Interior;Barra Bonita;5624;129;;;
3505351;Interior;Barra do Chapéu;466;15;;;
3505401;Interior;Barra do Turvo;894;27;;;
3505500;Interior;Barretos;29573;640;;;
3505609;Interior;Barrinha;1759;92;;;
3505708;RMSP (exceto capital);Barueri;46723;1259;;;
3505807;Interior;Bastos;3817;97;;;
3505906;Interior;Batatais;6869;211;;;
3506003;Interior;Bauru;82095;1461;;;
3506102;Interior;Bebedouro;5987;347;;;
3506201;Interior;Bento de Abreu;665;6;;;
3506300;Interior;Bernardino de Campos;2056;41;;;
3506359;Interior;Bertioga;10657;200;;;
3506409;Interior;Bilac;969;25;;;
